S1|D: 0.306m,0065|397|286.893616|35.0000000|60.0000000
S2|D: 0.363m,0069|398|286.894682|235.0000000|60.0000000
M2|done|45.00|399|0|     287.180974
M3|done|45.00|400|0|     287.186576
S2|D: 0.444m,0094|402|287.795648|235.0000000|45.0000000
S1|D: 0.358m,0092|401|288.164591|35.0000000|45.0000000
M2|done|30.00|403|0|     288.451026
M3|done|30.00|404|0|     288.456609
S1|D: 0.469m,0142|405|289.435621|35.0000000|30.0000000
S2|D: 0.606m,0120|406|289.438539|235.0000000|30.0000000
M2|done|15.00|407|0|     289.724802
M3|done|15.00|408|0|     289.731673
S2|D: 0.555m,0075|410|290.339644|235.0000000|15.0000000
S1|D: 0.578m,0102|409|290.709596|35.0000000|15.0000000
M2|done|0.00|411|1|     290.996088
M3|done|0.00|412|1|     291.005616
S1|D: 0.538m,0080|413|291.605622|35.0000000| 0.0000000
S2|D: 0.532m,0065|414|291.611572|235.0000000| 0.0000000
M1|done|40.00|415|0|     292.057462
S1|D: 0.539m,0060|416|292.656755|40.0000000| 0.0000000
S2|D: 0.532m,0056|417|292.664738|240.0000000| 0.0000000
M2|done|0.00|418|1|     292.665306
M3|done|0.00|419|1|     292.674518
S1|D: 0.538m,0073|420|293.273797|40.0000000| 0.0000000
S2|D: 0.532m,0069|421|293.274653|240.0000000| 0.0000000
M2|done|15.00|422|0|     293.561248
M3|done|15.00|423|0|     293.566745
S2|D: 0.555m,0067|425|294.174675|240.0000000|15.0000000
S1|D: 0.574m,0089|424|294.544793|40.0000000|15.0000000
M2|done|30.00|426|0|     294.831445
M3|done|30.00|427|0|     294.838773
S2|D: 0.616m,0069|429|295.446639|240.0000000|30.0000000
S1|D: 0.479m,0134|428|295.816674|40.0000000|30.0000000
M2|done|45.00|430|0|     296.103088
M3|done|45.00|431|0|     296.111500
S2|D: 0.455m,0103|433|296.717877|240.0000000|45.0000000
S1|D: 0.366m,0100|432|297.089806|40.0000000|45.0000000
M2|done|60.00|434|0|     297.377255
M3|done|60.00|435|0|     297.382828
S1|D: 0.312m,0083|436|297.981741|40.0000000|60.0000000
S2|D: 0.372m,0083|437|297.991810|240.0000000|60.0000000
M2|done|75.00|438|0|     298.278146
M3|done|75.00|439|0|     298.280578
S1|D: 0.287m,0067|440|298.880572|40.0000000|75.0000000
S2|D: 0.330m,0071|441|298.881520|240.0000000|75.0000000
M2|done|90.00|442|0|     299.167823
M3|done|90.00|443|0|     299.169550
S1|D: 0.273m,0072|444|299.768137|40.0000000|90.0000000
S2|D: 0.314m,0046|445|299.771404|240.0000000|90.0000000
M2|done|105.00|446|0|     300.057775
M3|done|105.00|447|0|     300.060555
S1|D: 0.276m,0076|448|300.660648|40.0000000|105.0000000
S2|D: 0.318m,0050|449|300.661639|240.0000000|105.0000000
M2|done|120.00|450|0|     300.951657
M3|done|120.00|451|0|     300.952063
S1|D: 0.296m,0082|452|301.552946|40.0000000|120.0000000
S2|D: 0.342m,0053|453|301.562894|240.0000000|120.0000000
M2|done|135.00|454|0|     301.849180
M3|done|135.00|455|0|     301.853567
S2|D: 0.394m,0081|457|302.463642|240.0000000|135.0000000
S1|D: 0.342m,0100|456|302.831820|40.0000000|135.0000000
M2|done|150.00|458|0|     303.118270
M3|done|150.00|459|0|     303.127991
S1|D: 0.285m,0069|460|303.728636|40.0000000|150.0000000
S2|D: 0.320m,0053|461|303.734625|240.0000000|150.0000000
M2|done|165.00|462|0|     304.021088
M3|done|165.00|463|1|     304.027776
M1|done|45.00|464|0|     304.189356
S2|D: 0.266m,0055|466|304.794934|245.0000000|165.0000000
S1|D: 0.076m,0290|465|305.927138|45.0000000|165.0000000
M2|done|165.00|467|0|     305.927964
M3|done|165.00|468|1|     305.930517
S2|D: 0.266m,0053|470|306.537638|245.0000000|165.0000000
S1|D: 0.076m,0334|469|307.666855|45.0000000|165.0000000
M2|done|150.00|471|0|     307.953284
M3|done|150.00|472|0|     307.961641
S1|D: 0.285m,0070|473|308.561662|45.0000000|150.0000000
S2|D: 0.319m,0060|474|308.564628|245.0000000|150.0000000
M2|done|135.00|475|0|     308.851145
M3|done|135.00|476|0|     308.861511
S2|D: 0.411m,0076|478|309.465552|245.0000000|135.0000000
S1|D: 0.353m,0090|477|309.839861|45.0000000|135.0000000
M2|done|120.00|479|0|     310.126779
M3|done|120.00|480|0|     310.132616
S1|D: 0.306m,0071|481|310.731807|45.0000000|120.0000000
S2|D: 0.354m,0069|482|310.735535|245.0000000|120.0000000
M2|done|105.00|483|0|     311.021866
M3|done|105.00|484|0|     311.024568
S1|D: 0.284m,0079|485|311.623769|45.0000000|105.0000000
S2|D: 0.329m,0063|486|311.626568|245.0000000|105.0000000
M2|done|90.00|487|0|     311.912787
M3|done|90.00|488|0|     311.915083
S1|D: 0.280m,0086|489|312.514871|45.0000000|90.0000000
S2|D: 0.325m,0053|490|312.516413|245.0000000|90.0000000
M2|done|75.00|491|0|     312.802772
M3|done|75.00|492|0|     312.812579
S1|D: 0.294m,0102|493|313.412646|45.0000000|75.0000000
S2|D: 0.341m,0051|494|313.416776|245.0000000|75.0000000
M2|done|60.00|495|0|     313.704513
M3|done|60.00|496|0|     313.705615
S1|D: 0.321m,0099|497|314.305599|45.0000000|60.0000000
S2|D: 0.385m,0066|498|314.306553|245.0000000|60.0000000
M2|done|45.00|499|0|     314.592992
M3|done|45.00|500|0|     314.602869
S1|D: 0.375m,0094|501|315.581868|45.0000000|45.0000000
S2|D: 0.470m,0106|502|315.585601|245.0000000|45.0000000
M2|done|30.00|503|0|     315.871953
M3|done|30.00|504|0|     315.876625
S2|D: 0.615m,0049|506|316.485634|245.0000000|30.0000000
S1|D: 0.487m,0148|505|317.612769|45.0000000|30.0000000
S2|D: 0.555m,0075|510|318.510660|245.0000000|15.0000000
M2|done|15.00|507|0|     317.899561
M3|done|15.00|508|0|     317.906577
S1|D: 0.576m,0103|509|318.884642|45.0000000|15.0000000
M2|done|0.00|511|1|     319.171589
M3|done|0.00|512|1|     319.174600
S2|D: 0.531m,0057|514|319.783656|245.0000000| 0.0000000
S1|D: 0.538m,0097|513|320.152767|45.0000000| 0.0000000
M1|done|50.00|515|0|     320.598867
S1|D: 0.539m,0066|516|321.199620|50.0000000| 0.0000000
S2|D: 0.532m,0056|517|321.203867|250.0000000| 0.0000000
M2|done|0.00|518|1|     321.204427
M3|done|0.00|519|1|     321.205513
S1|D: 0.539m,0080|520|321.804168|50.0000000| 0.0000000
S2|D: 0.532m,0057|521|321.815905|250.0000000| 0.0000000
M2|done|15.00|522|0|     322.102141
